text,label
"NASA confirms moon landing was staged in Hollywood studio, leaked documents reveal",0
"Local high school robotics team wins state championship",1
"BREAKING: Scientists discover cure for all cancers using household vinegar",0
"City council approves budget for new public library wing",1
"You won't believe what this celebrity did — doctors hate her!",0
"Weather service issues flood watch for river counties through Tuesday",1
"Aliens contacted White House via TikTok, insider claims",0
"Regional transit adds weekend service on Green Line",1
"5G towers spread coronavirus according to leaked WHO emails",0
"University researchers publish study on drought-resistant crops",1
"Bill Gates microchip vaccine mandatory next month worldwide",0
"Farmers market opens Saturday with 40 local vendors",1
"Pizzagate arrests imminent as military tribunal begins in secret",0
"Hospital expands pediatric emergency department hours",1
"Drinking bleach cures COVID in 24 hours, viral post says",0
"High school graduation ceremony moved to stadium due to crowd size",1
"Earth flat — ships disappear because of optical illusion says professor",0
"Public library hosts free coding workshop for teens",1
"Queen Elizabeth replaced by clone, royal family cover-up exposed",0
"Water main repair closes Maple Street between 3rd and 5th",1
"Bitcoin guaranteed to 100x if you send to this wallet address",0
"Animal shelter waives adoption fees for senior pets this month",1
"Time traveler from 3024 warns of solar flare this Thursday",0
"County fair announces headline music acts for summer",1
"FEMA camps activated for dissenters under new executive order",0
"Little League team raises funds for equipment through bake sale",1
"Moon made of cheese — NASA finally admits after decades",0
"State park trail reopened after winter storm damage repairs",1
"Eating only lemons resets your DNA in 7 days",0
"Community garden plots available for spring planting signup",1
"Secret society controls all banks — list of members inside",0
"Airport adds direct flights to two regional hubs this fall",1
"Shocking video proves birds are government drones charging on power lines",0
"School board votes on calendar changes for next academic year",1
"One weird trick eliminates taxes forever IRS does not want you to know",0
"Fire department reminds residents to test smoke detectors this month",1
"Lizard people run the UN photographic evidence deleted immediately",0
"Marathon road closures announced for downtown Sunday morning",1
"Free energy device suppressed by oil companies inventor missing",0
"Post office extends hours for holiday package shipping",1
"Celebrity death hoax spreads after edited screenshot goes viral",0
"Public health clinic offers flu shots by appointment",1
"Martian fossils found in Walmart parking lot geologists baffled",0
"Bridge inspection completed ahead of winter maintenance schedule",1
"Immigrants receive secret payments from ATM codes in leaked memo",0
"Zoo announces birth of endangered species as part of breeding program",1
"WiFi causes brain rot in children study banned from internet",0
"Chamber of commerce hosts small business networking breakfast",1
"Underground tunnels connect every Walmart for trafficking says vlogger",0
"Police department launches community bike registration program",1
"Putin and Biden are same actor in silicone mask conspiracy deepens",0
"Utility company schedules planned outage for equipment upgrade",1
"Chocolate diet melts belly fat overnight no exercise required",0
"Museum opens new exhibit on local industrial history",1
"NASA rover sends new images from Mars surface mission update",1
"Anonymous hacker has every password click here to see if yours leaked",0
"City announces leaf collection dates for residential streets",1
"Experts agree world ends next Tuesday stock up on canned mystery",0
"Blood drive at community center seeks donors type O especially",1
"Deep state weather machine caused hurricane admits former contractor",0
"Library board meeting minutes published online for transparency",1
"James Webb Space Telescope team releases new exoplanet atmosphere findings",1
"SpaceX launches cargo resupply mission to International Space Station",1
"CDC publishes weekly respiratory virus surveillance summary",1
"Federal Reserve holds interest rates steady after policy meeting",1
"NOAA forecasts above-average hurricane season for Atlantic basin",1
"Apple announces software updates focusing on security patches",1
"Sun rises from the east",1
"Honda is a Helicopter Brand",0
"Hero is a car and bike brand",1
